File,NumberLines,TokenEntropy,HalsteadVolume,Truth
1.jsnp,16,2.03,60.94,Y
2.jsnp,30,2.95,460.12,N
3.jsnp,33,3.15,658.91,N
4.jsnp,24,1.67,49.83,Y
5.jsnp,27,2.19,213.62,Y
6.jsnp,18,3.42,56.47,Y
7.jsnp,36,3.52,430.86,N
8.jsnp,33,2.61,443.97,N
9.jsnp,32,2.98,219.62,Y
10.jsnp,25,3.52,349.77,N
11.jsnp,14,2.52,133.78,Y
12.jsnp,19,2.91,217.98,N
13.jsnp,22,2.65,471.46,N
14.jsnp,28,2.31,494.35,N
15.jsnp,39,2.19,502.67,N
16.jsnp,16,4.04,226.18,Y
17.jsnp,40,4.04,361.07,Y
18.jsnp,28,3.98,585.15,Y
19.jsnp,13,3.30,19.65,Y
20.jsnp,28,4.24,491.48,Y
21.jsnp,13,3.93,150.12,Y
22.jsnp,22,3.97,197.42,Y
23.jsnp,12,3.93,77.66,N
24.jsnp,11,4.03,141.78,Y
25.jsnp,23,4.07,325.60,Y
26.jsnp,30,4.04,679.95,N
27.jsnp,38,3.85,298.02,Y
28.jsnp,34,4.41,557.88,N
29.jsnp,21,4.02,210.91,Y
30.jsnp,25,3.69,216.84,N
31.jsnp,29,4.68,560.17,N
32.jsnp,21,3.61,118.54,Y
33.jsnp,29,4.11,247.76,Y
34.jsnp,42,4.19,792.23,N
35.jsnp,16,4.39,245.18,Y
36.jsnp,12,4.13,310.10,N
37.jsnp,21,2.20,249.12,Y
38.jsnp,21,3.29,242.03,Y
39.jsnp,20,2.42,56.47,Y
40.jsnp,40,2.51,361.93,Y
41.jsnp,42,2.51,523.19,Y
42.jsnp,34,2.55,172.00,Y
43.jsnp,34,2.47,385.44,N
44.jsnp,39,2.65,253.82,Y
45.jsnp,20,2.93,276.60,Y
46.jsnp,29,3.22,447.56,N
47.jsnp,23,2.14,232.99,Y
48.jsnp,36,1.94,383.78,Y
49.jsnp,25,2.63,309.63,N
50.jsnp,31,1.94,370.00,N
51.jsnp,31,2.46,320.95,N
52.jsnp,12,3.02,146.95,Y
53.jsnp,13,2.43,31.70,Y
54.jsnp,26,2.90,482.15,Y
55.jsnp,14,3.46,60.92,Y
56.jsnp,35,4.14,531.86,N
57.jsnp,26,4.30,323.33,N
58.jsnp,39,4.53,973.75,N
59.jsnp,13,3.87,339.02,Y
60.jsnp,12,3.33,208.46,Y
61.jsnp,40,2.39,462.96,Y
62.jsnp,21,4.27,208.15,N
63.jsnp,14,3.64,217.13,Y
64.jsnp,15,3.95,215.49,Y
65.jsnp,10,3.97,51.89,Y
66.jsnp,37,4.17,310.34,N
67.jsnp,16,3.46,47.55,Y
68.jsnp,42,4.37,998.87,N
69.jsnp,29,4.39,466.59,N
70.jsnp,11,4.16,184.00,N
71.jsnp,41,4.18,513.19,N
72.jsnp,38,3.59,535.29,N
73.jsnp,16,2.03,60.94,Y
74.jsnp,32,4.20,1254.25,N
75.jsnp,39,4.09,218.72,Y
76.jsnp,35,3.60,495.00,Y
77.jsnp,26,4.21,314.04,Y
78.jsnp,36,4.24,354.63,Y
79.jsnp,28,3.87,167.59,Y
80.jsnp,36,4.36,458.35,Y
81.jsnp,12,3.89,55.51,Y
82.jsnp,38,4.25,514.30,Y
83.jsnp,34,4.35,899.28,N
84.jsnp,41,4.44,491.35,N
85.jsnp,16,3.73,69.19,Y
86.jsnp,13,3.64,62.27,Y
87.jsnp,38,2.16,338.58,N
88.jsnp,21,4.22,407.12,Y
89.jsnp,26,3.75,325.54,N
90.jsnp,37,2.58,501.49,Y
91.jsnp,34,4.40,515.74,Y
92.jsnp,15,4.49,146.72,Y
93.jsnp,37,3.91,308.67,Y
94.jsnp,30,3.76,235.00,N
95.jsnp,10,3.75,59.21,Y
96.jsnp,32,4.06,620.58,N
97.jsnp,31,4.09,600.77,N
98.jsnp,30,3.98,488.06,N
99.jsnp,36,4.18,758.86,N
100.jsnp,20,3.91,230.32,Y
101.jsnp,22,3.15,65.73,N
102.jsnp,37,3.95,221.14,N
103.jsnp,25,3.47,93.77,Y
104.jsnp,14,4.15,142.62,Y
105.jsnp,11,4.01,116.76,Y
106.jsnp,36,4.37,451.32,N
107.jsnp,32,4.01,266.89,Y
108.jsnp,39,4.44,803.38,N
109.jsnp,40,4.35,812.43,N
110.jsnp,35,4.20,211.00,N
111.jsnp,23,4.13,206.32,N
112.jsnp,22,4.16,291.43,Y
113.jsnp,19,3.83,293.89,Y
114.jsnp,30,2.50,168.00,Y
115.jsnp,16,3.62,28.53,N
116.jsnp,20,3.08,220.92,N
117.jsnp,38,4.46,474.08,N
118.jsnp,35,4.63,491.02,Y
119.jsnp,42,2.25,502.67,Y
120.jsnp,16,3.76,210.91,Y
121.jsnp,42,2.89,645.97,N
122.jsnp,25,3.74,318.58,N
123.jsnp,16,3.79,254.99,Y
124.jsnp,14,3.08,151.30,N
125.jsnp,20,2.75,287.34,N
126.jsnp,25,4.16,187.98,N
127.jsnp,42,4.01,525.04,N
128.jsnp,11,4.12,123.19,N
129.jsnp,26,3.89,209.22,Y
130.jsnp,36,3.49,713.07,N
131.jsnp,31,3.59,635.80,N
132.jsnp,28,2.69,269.64,N
133.jsnp,10,4.04,87.57,Y
134.jsnp,35,4.39,446.07,Y
135.jsnp,37,4.31,924.61,N
136.jsnp,32,3.93,575.25,Y
137.jsnp,34,4.32,510.52,N
138.jsnp,38,3.75,558.80,Y
139.jsnp,21,4.19,365.00,Y
140.jsnp,40,4.27,1023.30,N
141.jsnp,12,2.47,83.05,Y
142.jsnp,23,4.46,450.38,N
143.jsnp,12,3.62,82.04,N
144.jsnp,12,4.04,263.11,Y
145.jsnp,19,4.12,174.23,Y
146.jsnp,40,4.07,527.78,N
147.jsnp,32,3.71,227.55,N
148.jsnp,11,3.99,104.25,N
149.jsnp,42,4.05,671.62,N
150.jsnp,11,3.67,22.46,Y
151.jsnp,30,4.13,220.42,Y
152.jsnp,41,4.24,450.38,Y
153.jsnp,22,2.24,310.10,Y
154.jsnp,38,2.25,432.43,N
155.jsnp,42,2.16,464.08,N
156.jsnp,25,1.98,106.20,N
157.jsnp,28,2.78,202.05,N
158.jsnp,38,2.87,351.25,N
159.jsnp,10,3.71,153.25,Y
160.jsnp,10,2.58,46.60,Y
161.jsnp,29,2.23,272.48,N
162.jsnp,33,4.20,772.85,N
163.jsnp,20,4.53,396.41,N
164.jsnp,28,3.82,138.30,Y
165.jsnp,11,3.15,31.70,Y
166.jsnp,17,4.27,423.05,Y
167.jsnp,30,4.44,602.07,N
168.jsnp,12,4.16,82.04,Y
169.jsnp,22,3.84,137.06,Y
170.jsnp,36,4.24,369.31,N
171.jsnp,10,3.96,129.06,Y
172.jsnp,38,2.77,255.41,Y
173.jsnp,36,2.10,233.18,N
174.jsnp,33,2.54,180.09,N
175.jsnp,38,4.26,299.32,Y
176.jsnp,27,4.06,322.99,N
177.jsnp,40,4.39,921.52,N
178.jsnp,21,2.81,245.00,N
179.jsnp,23,4.24,275.78,N
180.jsnp,41,4.28,698.81,N
181.jsnp,35,4.26,451.79,N
182.jsnp,19,3.70,133.44,N
183.jsnp,32,4.02,307.76,N
184.jsnp,18,3.95,116.00,Y
185.jsnp,34,3.69,216.64,Y
186.jsnp,38,3.94,325.70,N
187.jsnp,12,3.45,11.61,Y
188.jsnp,41,4.10,426.05,Y
189.jsnp,36,4.28,437.52,N
190.jsnp,18,4.00,168.00,Y
191.jsnp,11,4.18,196.21,Y
192.jsnp,39,4.34,734.71,N
193.jsnp,17,3.79,116.69,Y
194.jsnp,12,3.47,320.51,N
195.jsnp,34,4.11,407.00,N
196.jsnp,11,4.23,195.99,N
197.jsnp,41,3.72,348.39,N
198.jsnp,31,3.91,298.06,N
199.jsnp,11,3.28,43.02,Y
200.jsnp,41,4.07,635.90,N
